price,bedrooms,living_area,kitchen_type,furnished,terrace_surface,garden_surface,plot_surface,frontage,swimming_pool,condition,property_type
1200000,10,460,0,0,0,0,4827,4,0,2,5
160000,1,35,2,0,0,0,35,2,0,5,0
390000,2,140,1,0,10,0,140,2,0,1,0
710000,3,232,2,0,6,0,232,2,0,2,0
255000,3,140,0,0,40,500,746,4,0,2,1
1095000,5,320,1,0,26,0,84,2,0,1,11
207500,4,155,0,0,20,200,230,3,0,5,11
359000,4,167,2,0,0,0,407,2,0,2,1
210000,4,161,0,0,0,200,380,3,0,6,1
780000,4,190,1,0,15,60,140,2,0,2,1
600000,4,204,2,0,0,18831,20390,4,0,2,1
145000,2,100,3,0,0,0,146,2,0,5,1
1000000,7,466,0,0,10,0,230,2,0,4,4
280000,2,90,0,0,7,0,90,2,0,4,0
489000,2,101,2,0,10,0,101,2,0,1,7
165000,3,160,3,0,0,431,431,4,0,4,1
1275000,11,850,2,0,0,0,15000,4,1,4,13
268500,3,112,2,0,7,0,112,2,0,2,0
295000,3,156,2,0,20,0,178,4,0,2,1
259000,3,176,2,0,28,70,250,2,0,2,1
285400,2,103,1,0,15,0,103,2,0,1,0
447100,5,197,2,0,23,23,327,2,0,2,1
320000,2,91,2,0,15,0,91,2,0,1,0
525000,3,177,2,0,32,70,180,2,0,1,10
179000,3,136,0,0,0,0,320,2,0,4,1
185000,2,110,3,0,0,0,428,3,0,2,1
275000,2,120,1,0,0,0,120,3,0,1,2
345000,3,150,3,0,0,0,180,2,0,5,1
307700,2,87,2,0,18,0,87,4,0,2,0
269000,2,68,0,0,18,0,68,2,0,1,0
295000,3,120,2,0,0,0,120,2,0,2,0
445000,1,62,2,0,0,0,62,2,1,1,0
820000,3,397,1,0,0,0,10000,4,0,1,5
199000,2,110,0,0,0,0,477,3,0,4,1
225000,3,189,2,0,9,85,189,2,0,5,10
295000,5,254,0,0,0,0,1700,3,0,2,1
258500,2,88,1,0,12,0,88,2,0,1,0
295000,4,161,2,0,30,1000,1266,4,0,1,1
445404,2,103,0,0,31,0,103,2,0,2,0
389000,3,107,1,0,4,0,107,4,0,1,0
399000,2,110,2,1,0,0,110,2,0,1,0
588000,3,231,2,0,0,0,1102,4,0,2,3
725000,5,315,2,0,0,516,516,2,0,1,1
1750000,3,153,1,0,6,0,153,2,0,1,0
145000,1,51,3,0,25,0,51,2,0,2,0
460000,3,235,1,0,15,100,366,3,0,1,1
215000,2,86,2,0,0,0,86,2,0,2,0
460000,2,92,1,0,8,0,92,2,0,2,0
159000,4,135,3,0,0,330,650,2,0,2,1
365000,1,73,1,0,0,0,73,2,0,1,6
259000,2,105,2,0,4,0,105,2,0,4,0
279000,2,94,1,0,0,0,94,2,0,2,0
249000,3,110,3,0,15,0,1083,4,0,2,14
194000,1,62,1,0,7,0,62,2,0,1,0
345000,6,269,0,0,0,149,200,2,0,4,1
294000,3,105,2,0,0,0,233,2,0,3,1
139000,2,90,2,0,0,0,90,2,0,2,0
395000,2,78,2,0,0,0,78,2,0,2,8
142000,1,70,0,0,0,0,70,2,0,2,0
240000,4,177,3,0,0,0,450,2,0,4,1
175000,3,107,3,0,0,115,350,3,0,2,1
249000,7,343,3,0,0,0,285,2,0,5,1
320000,2,107,1,0,26,0,107,2,0,1,0
269000,4,175,2,0,0,0,124,4,0,2,1
349000,5,210,3,0,0,0,101,2,0,2,1
1090000,4,423,1,0,0,76,218,2,0,2,9
298000,2,90,2,0,8,0,90,2,0,2,0
169000,2,98,0,0,51,45,171,2,0,1,1
1850000,3,145,0,0,0,0,145,2,0,1,6
6650000,5,358,1,0,0,1023,1023,4,0,1,3
1595000,5,380,1,0,300,5000,5200,4,1,2,3
675000,8,240,3,0,0,50,110,2,0,5,9
139000,3,82,3,0,2,0,82,2,0,3,0
219000,3,100,0,0,0,0,100,2,0,2,0
240000,3,75,3,0,0,0,900,4,0,5,1
695000,4,270,0,0,2,0,115,2,0,2,9
369000,3,176,3,0,0,88,200,2,0,4,1
1250000,5,735,1,0,100,0,26769,4,0,1,5
485000,3,176,2,0,0,0,40,2,0,2,11
645000,4,260,2,0,30,0,1412,4,0,2,3
360000,1,90,1,0,0,0,90,2,0,2,0
156000,3,105,3,0,0,0,515,4,0,5,1
155000,3,98,3,1,0,0,98,2,0,2,0
299000,2,64,2,0,0,0,64,2,0,2,0
585000,4,255,1,0,15,65,221,2,0,5,10
827000,3,199,2,0,25,0,199,4,0,2,0
210000,1,45,2,0,0,0,45,2,0,2,0
695000,3,166,0,0,42,0,166,2,0,1,7
379000,4,358,2,0,65,348,774,3,1,2,1
339000,3,178,0,0,0,0,187,2,0,2,1
345000,1,65,0,1,7,0,65,2,0,2,0
89500,1,57,0,0,0,0,57,3,0,2,0
159900,3,105,0,0,0,75,360,3,0,4,1
125000,1,49,0,0,4,0,49,2,0,2,0
299000,2,97,1,0,5,0,97,2,0,1,0
285000,3,120,2,0,0,0,125,2,0,2,1
280000,3,125,2,0,50,400,697,3,0,1,1
