Locality,Price,Bedrooms,Living area,Kitchen type,Furnished,Terrace surface,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Type of property 
evere,"275,000",2,109,Installed,0,7,None,None,3,None,None,apartment
rixensart,"1,200,000",3,300,USA hyper equipped,0,25,None,1110,4,1,As new,villa
brugge,"265,000",2,80,Hyper equipped,0,None,None,None,None,0,As new,ground-floor
watermael-boitsfort,"465,000",3,147,Installed,0,4,None,None,3,0,As new,apartment
nivelles,"300,000",3,100,Installed,0,21,None,None,2,0,As new,apartment
willebroek,"330,000",2,175,Installed,0,None,None,None,3,None,None,apartment
huy,"229,000",2,140,USA installed,0,15,None,150,2,None,Good,mansion
etterbeek,"595,000",3,220,Installed,0,10,None,None,3,0,To renovate,apartment
wijgmaal,None,3,None,None,None,None,None,276,None,None,To be done up,house
izegem,"122,000",4,196,Semi equipped,0,None,None,115,None,None,To renovate,house
molenbeek-saint-jean,"280,000",2,120,Hyper equipped,0,12,None,None,3,None,As new,apartment
mariakerke,"369,000",3,152,Installed,0,None,None,130,3,None,Good,house
schaltin,"350,000",4,175,Installed,0,50,800,903,4,None,As new,villa
harelbeke,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
charleroi-montignies-sur-sambre,"92,500",1,57,Installed,0,None,None,None,2,0,Good,duplex
koksijde,"385,000",1,60,Hyper equipped,0,None,None,None,None,0,As new,penthouse
gistel,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
deurne,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
liege,"495,000",7,440,Not installed,0,None,None,None,None,None,Good,house
blankenberge,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
moen,"280,000",3,125,Installed,0,None,None,411,2,None,None,house
forest,"259,000",2,120,None,0,4,None,None,2,0,To renovate,duplex
gavere,"280,000",2,95,Hyper equipped,None,11,None,None,None,0,None,apartment
jabbeke,"549,000",5,253,Hyper equipped,0,None,None,1306,None,1,As new,house
marloie,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
brussel,"575,000",2,141,None,0,None,None,None,3,None,As new,apartment
knokke-heist-knokke,"1,650,000",4,225,None,None,None,None,838,3,None,As new,villa
bruxelles-ville,"285,000",1,75,None,0,None,None,None,2,None,Good,apartment
blankenberge,"185,000",2,100,Semi equipped,0,None,None,None,None,0,To be done up,apartment
wemmel,"945,000",5,375,Installed,0,45,None,1795,4,1,Good,villa
schaerbeek,"145,000",None,36,Semi equipped,1,None,None,None,2,0,As new,flat-studio
deerlijk,"220,000",3,120,Hyper equipped,0,None,327,470,None,None,As new,house
uccle,"475,000",4,130,Hyper equipped,0,20,None,None,None,None,None,apartment
woluwe-saint-lambert,"399,000",2,83,USA hyper equipped,0,66,None,None,3,0,As new,penthouse
olen,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-houses
genappe,"525,000",5,329,Hyper equipped,0,None,None,526,3,0,Good,exceptional-property
kuurne,"235,000",2,180,Hyper equipped,0,None,67,286,None,None,As new,house
fleron,"299,000",4,217,Semi equipped,0,None,None,513,3,None,Good,house
hombeek,"466,300",3,208,Hyper equipped,None,None,None,578,3,None,As new,house
bruxelles,"990,000",3,None,USA hyper equipped,0,None,None,None,2,0,As new,apartment
schaerbeek,"190,000",2,87,Semi equipped,0,4,None,None,3,None,None,apartment
schaerbeek,"485,000",5,195,Not installed,0,13,None,None,2,None,To renovate,house
knokke-heist,"785,000",4,160,Installed,0,None,205,649,4,None,None,villa
antwerp,"540,000",2,152,USA hyper equipped,None,40,None,None,2,0,As new,apartment
saint-sauveur,"925,000",5,453,Installed,0,60,None,5103,4,None,None,house
leuven,"390,000",3,355,Hyper equipped,0,20,80,500,3,0,As new,house
kessel-lo,"347,500",3,138,Installed,0,None,19,95,2,None,Good,house
nieuwpoort,"295,000",2,86,Installed,0,None,None,None,None,0,As new,apartment
bredene,"249,000",1,95,Semi equipped,0,None,None,None,None,None,Good,penthouse
onoz,"265,000",4,151,Installed,0,None,None,884,4,None,None,villa
seraing,"159,500",3,169,Hyper equipped,0,27,25,160,3,0,As new,house
koekelberg,"669,000",4,280,USA hyper equipped,0,20,70,175,2,0,Good,apartment-block
oud-heverlee-haasrode,"275,000",3,92,None,None,None,None,None,2,None,Good,duplex
zele,"289,000",2,80,Installed,0,None,None,None,None,None,Good,apartment
corroy-le-chateau,"175,000",2,65,Installed,0,None,None,None,3,None,To be done up,apartment
uccle,"650,000",3,125,Hyper equipped,0,25,None,None,None,0,As new,apartment
braine-lalleud,"995,000",3,282,USA hyper equipped,None,None,900,1600,4,None,As new,villa
schaerbeek,"310,000",2,85,USA hyper equipped,0,2,None,None,3,None,Good,apartment
gent,"279,000",1,76,None,None,25,None,None,None,0,None,apartment
auderghem,"424,000",2,95,Installed,None,10,None,None,None,None,As new,apartment
ekeren,"410,000",3,212,Installed,0,18,70,177,2,None,As new,house
willebroek,"210,000",2,62,Installed,0,25,None,None,2,None,None,apartment
hemiksem,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
dour,"175,000",4,173,None,0,None,None,280,4,None,None,house
marche-en-famenne,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
ixelles,"1,537,000",2,160,Hyper equipped,0,91,None,None,2,0,As new,apartment
sint-lambrechts-woluwe,"325,000",3,101,USA installed,None,2,None,None,None,None,Good,duplex
landen,"359,000",3,175,Installed,0,25,646,821,4,None,None,house
nieuwpoort,"159,000",1,30,Installed,0,None,None,None,2,0,Good,flat-studio
zaventem-sterrebeek,"374,000",2,94,USA hyper equipped,None,21,None,None,2,None,As new,duplex
veurne,"239,000",2,81,Installed,0,40,None,None,2,0,Good,apartment
uccle,"635,000",4,246,Hyper equipped,0,12,None,227,2,0,Just renovated,house
bornem,"265,000",3,126,Installed,0,None,None,150,2,None,To be done up,house
ixelles,"325,000",2,86,Installed,None,28,None,None,2,None,Good,ground-floor
borgloon,"244,048",4,136,Semi equipped,0,None,None,154,2,None,None,house
uccle,"690,000",4,250,Semi equipped,0,25,150,100,2,None,To be done up,house
genappe,"180,000",3,80,None,0,None,None,80,2,None,Good,house
la-roche-en-ardenne,"300,000",22,790,None,0,None,None,805,4,None,To renovate,apartment-block
wenduine,"189,000",1,54,Installed,1,None,None,None,None,0,Good,apartment
anderlecht,"510,000",6,280,Not installed,0,None,None,110,2,0,To renovate,apartment-block
brussels-city,"275,000",2,98,Installed,0,10,None,None,4,0,Good,apartment
oudenburg,"619,000",6,309,Installed,0,None,None,2890,4,None,Good,villa
lievegem,"398,000",3,170,Installed,0,4,None,None,2,None,As new,apartment
jambes,"212,000",3,98,None,0,None,None,None,4,None,To be done up,apartment
beernem-oedelem,"331,500",3,151,USA installed,0,None,None,249,3,None,As new,house
ixelles,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
uccle,"249,000",2,66,None,0,3,None,None,3,None,Good,apartment
tihange,"529,000",5,260,Installed,0,38,3250,3961,4,None,Good,house
chiny,"176,500",2,63,Installed,0,None,None,None,None,0,As new,apartment
wervik,"415,000",4,380,Hyper equipped,0,None,None,871,3,None,As new,house
heule,"185,000",4,181,Semi equipped,0,None,None,309,2,None,To be done up,house
cheratte,"165,000",3,125,None,0,60,None,350,3,None,Good,house
heusden,"614,000",3,260,Installed,None,None,None,300,None,0,As new,mixed-use-building
uccle,"2,195,000",3,280,USA hyper equipped,0,34,None,None,None,0,As new,apartment
tervuren,"1,435,000",5,230,Hyper equipped,None,None,None,2183,4,0,As new,villa
grembergen,"349,000",3,None,Installed,0,None,None,323,3,None,Good,house
antheit,"249,000",2,195,USA semi equipped,0,None,630,780,4,None,Good,country-cottage
aalst,"295,000",1,60,Hyper equipped,0,14,None,None,2,0,As new,service-flat
bruxelles,"185,000",None,38,None,0,None,None,None,4,0,Good,flat-studio
woluwe-saint-lambert,"349,000",2,95,USA hyper equipped,0,9,None,None,3,0,As new,apartment
waterloo,"350,000",2,127,Hyper equipped,0,23,280,372,2,None,Good,house
boutersem,"230,000",2,150,Semi equipped,0,None,None,349,None,None,To be done up,house
beyne-heusay,"159,000",2,92,Hyper equipped,0,5,50,None,None,None,Good,duplex
antwerp,"229,000",3,90,Installed,None,3,None,None,3,0,Good,apartment
deurne,"233,000",2,87,USA hyper equipped,0,7,None,None,4,None,None,apartment
dworp,"980,000",4,327,Installed,0,None,None,4110,4,None,Good,house
zwevezele,"349,500",3,110,Hyper equipped,0,54,None,None,None,0,As new,ground-floor
blankenberge,"179,900",2,None,Installed,0,None,None,None,None,0,As new,apartment
bastogne,"175,000",1,128,None,0,None,None,55,2,0,To be done up,house
wellin-chanly,"390,000",17,720,Installed,1,None,None,2439,4,0,Good,house
pont-a-celles,"249,900",3,151,Semi equipped,0,11,700,892,4,0,To be done up,villa
uccle,"995,000",4,215,USA hyper equipped,0,40,None,None,3,0,As new,apartment
gelrode,"385,000",3,None,None,0,None,None,938,None,None,None,house
huy,"129,000",2,95,Semi equipped,0,None,None,50,None,None,Good,house
anhee,"249,000",3,110,Hyper equipped,0,8,696,696,None,None,As new,villa
woluwe-saint-lambert,"295,000",2,80,USA hyper equipped,0,None,None,None,3,0,As new,duplex
overijse,"562,000",3,143,Semi equipped,0,5,566,566,4,None,To renovate,bungalow
willebroek,"237,000",2,72,None,0,3,None,None,2,None,None,apartment
herent,"315,000",2,75,Installed,0,7,None,None,2,None,None,service-flat
knokke-heist,"4,350,000",5,464,Hyper equipped,0,None,42000,42000,4,None,Good,house
lichtaart,"419,000",3,188,Hyper equipped,0,43,None,None,2,None,None,penthouse
etterbeek,"1,850,000",6,525,Installed,None,None,None,673,2,None,As new,mansion
javingue,"259,000",4,215,None,0,None,None,660,4,None,As new,house
