Locality,Price,Bedrooms,Living area,Kitchen type,Furnished,Terrace surface,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Type of property 
bruxelles,"310,000",None,59,USA hyper equipped,None,15,None,None,None,0,As new,flat-studio
vlaams-brabant,"115,000",1,48,Hyper equipped,0,None,None,None,None,0,To be done up,flat-studio
woluwe-st-lambert,"489,000",2,112,Installed,0,29,None,None,None,None,As new,apartment
verviers,"339,000",3,160,Installed,0,15,300,690,4,None,Good,house
muizen,"1,250,000",18,700,Installed,0,None,None,5000,4,None,Good,mixed-use-building
tubize,"210,000",3,140,Installed,0,4,None,None,2,None,Just renovated,duplex
lendelede,"199,000",3,120,Installed,None,20,None,None,None,None,As new,apartment
hasselt,"199,000",2,109,Installed,0,None,None,None,3,0,None,apartment
zottegem,"190,000",1,54,Hyper equipped,0,30,None,None,2,None,Good,apartment
huy,"199,000",None,348,Not installed,0,16,32,207,2,None,To renovate,mixed-use-building
izegem,"287,000",3,135,Hyper equipped,0,19,15601,249,None,None,As new,house
ixelles,"695,000",4,235,None,0,20,None,None,2,None,None,apartment
beringen,"189,000",2,135,USA installed,0,None,205,388,3,None,To renovate,house
woluwe-saint-pierre,"1,950,000",6,410,Hyper equipped,0,20,330,598,3,0,Good,house
mere,"1,149,000",3,None,Installed,None,None,None,2040,4,None,As new,apartment-block
jemeppe,"99,000",2,97,Not installed,None,None,120,157,2,None,To renovate,house
evere,"320,000",2,85,USA hyper equipped,1,10,None,None,2,None,As new,apartment
oostende,"135,000",1,60,Installed,0,None,None,None,None,None,Good,apartment
gesves,"365,000",3,None,Installed,0,18,None,950,4,None,As new,house
matagne-la-petite,"375,000",6,485,Hyper equipped,0,25,600,900,2,None,None,house
willebroek,"790,000",2,247,Hyper equipped,0,14,None,127,None,None,Just renovated,house
uccle,"3,295,000",5,480,Hyper equipped,0,None,None,None,4,0,As new,duplex
chaumont-gistoux,"795,000",6,412,USA installed,0,10,None,672,2,None,Good,mixed-use-building
antwerp,"1,150,000",2,225,Hyper equipped,0,25,None,None,2,None,As new,apartment
forest,"755,000",3,200,Hyper equipped,0,None,None,None,2,0,As new,penthouse
saint-gilles,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
vilvoorde,"349,000",3,166,Semi equipped,0,None,46,124,2,None,To renovate,house
gent,"410,000",3,119,Hyper equipped,0,8,None,None,None,0,As new,duplex
tubize,"245,000",3,145,Installed,0,10,150,193,2,None,Good,house
boortmeerbeek,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
herzele,"775,000",6,2000,Semi equipped,0,None,1200,2060,4,None,To renovate,country-cottage
zwijnaarde,"285,000",1,88,None,0,18,None,None,None,0,None,apartment
brakel,"345,000",3,306,Hyper equipped,0,None,1900,2200,4,0,Good,house
uccle,"430,000",3,116,USA semi equipped,None,9,None,None,2,0,As new,apartment
waterloo,"445,000",2,107,Not installed,0,85,None,None,None,None,As new,penthouse
jonkershove,"195,000",3,142,Installed,0,None,None,620,None,None,To be done up,house
waregem,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
mechelen,"335,000",2,100,Hyper equipped,0,None,16,60,None,None,As new,house
montignies-sur-sambre,"125,000",3,128,Installed,0,None,460,None,2,None,To be done up,house
gistel,"342,000",3,130,Hyper equipped,0,14,None,None,None,None,As new,apartment
herent,"595,000",5,669,None,0,None,380,None,3,None,Good,apartment
knokke-heist,"895,000",3,106,Hyper equipped,0,None,None,None,2,1,As new,apartment
hamoir,"169,000",2,100,Installed,0,10,None,None,3,None,To be done up,house
bruxelles,"1,350,000",4,293,Installed,1,18,None,76,3,0,As new,apartment-block
engis,"229,000",3,151,Semi equipped,0,None,1600,2183,None,1,Good,house
hevillers,"495,000",4,197,Semi equipped,0,None,None,1322,4,None,To renovate,exceptional-property
charleroi,"209,000",5,427,Installed,1,None,None,389,2,0,Good,apartment-block
putte,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-houses
waterloo,"975,000",4,319,Hyper equipped,0,None,1950,2785,4,1,As new,villa
leuven,"425,000",2,106,Installed,0,35,None,None,2,0,Good,apartment
heure,"395,000",6,230,Installed,0,None,1900,1900,4,1,As new,house
halle,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
nieuwpoort,"238,500",2,60,None,0,None,None,None,None,0,As new,apartment
beersel,"499,000",3,313,Installed,0,180,667,1135,3,1,Good,house
malmedy,"649,000",4,None,Hyper equipped,0,40,None,24516,4,1,None,house
tongeren,"265,000",4,279,Semi equipped,0,47,None,207,3,None,Good,house
saint-gilles,"695,000",6,290,None,0,5,None,73,2,0,None,house
forest,"400,000",5,210,Hyper equipped,0,None,None,90,2,None,Just renovated,house
hatrival,"120,000",3,96,Not installed,0,None,None,1210,4,None,To renovate,house
braine-lalleud,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
sambreville-auvelais,"350,000",5,200,Hyper equipped,0,100,500,700,3,1,Good,mansion
middelkerke,"270,000",8,67,Installed,0,8,None,None,2,None,None,apartment
bruxelles,"210,000",1,50,Installed,0,2,None,None,None,None,Good,apartment
ans,"202,500",2,99,Installed,0,8,None,None,None,None,None,apartment
brakel,"345,000",3,185,Installed,0,20,None,490,2,None,As new,house
machelen,"449,000",3,165,Semi equipped,0,None,100,180,4,None,Good,apartment-block
pepingen,"199,000",3,103,None,0,None,None,None,None,None,None,apartment
merksem,"419,000",5,333,Not installed,None,None,170,334,2,None,To renovate,house
merksem,"249,900",2,120,Installed,0,35,35,115,2,None,Good,house
nimy,"265,000",4,185,Installed,0,None,None,587,None,None,None,house
montignies-sur-sambre,"149,000",2,132,Not installed,0,None,None,936,None,None,To renovate,apartment-block
ixelles,"260,000",1,50,Hyper equipped,1,None,None,None,2,None,Good,apartment
deurne,"199,000",2,91,Installed,0,None,None,None,2,0,Good,apartment
herstal,"299,000",7,232,None,0,None,None,779,2,None,None,apartment-block
wervik,"195,000",3,138,Installed,0,None,None,69,2,None,Good,house
pepinster,"144,500",2,110,Semi equipped,0,None,70,113,3,0,To be done up,house
eeklo,"99,950",1,45,Installed,0,None,None,None,2,0,Good,flat-studio
halanzy,"245,000",2,109,None,0,20,None,510,2,None,None,house
arbrefontaine,"135,000",3,124,Not installed,None,None,None,203,3,0,To be done up,house
woluwe-saint-lambert,"520,000",4,143,USA hyper equipped,0,None,None,None,2,0,As new,triplex
blankenberge,"299,000",9,295,Installed,0,None,None,100,None,None,Good,house
